id,full_name,phone_number,aadhaar_number,pan_card_number,date_of_birth,address,city,state,pincode
10657,Fanai Mahato,9097777957,239962637792,WVXBU0423E,1997-08-18,"417/10, Bose Nagar",Chennai,Tamil Nadu,600003
10658,Rekha Siddiqui,7446060694,506952357865,UPCNG7078I,1982-10-08,"Door No. 295, Bose Path",Thiruvananthapuram,Kerala,695007
10659,Venkatesh Chandra,8542805376,625507868878,KRBSY1204C,1989-04-01,"945, Tilak Layout, Azad Area",Kozhikode,Kerala,673004
10660,Eshan Bose,7873142495,829179644160,GTONM0005J,1990-05-14,"House No. 962, Periyar Apartment, Gandhi Nagar",Patna,Bihar,800002
10661,Ganesh Balasubramanian,6648792104,862750152697,GEBWK4937Z,1976-12-03,"Door No. 520, Mohan Nagar",Coimbatore,Tamil Nadu,641001
10662,Vijayalakshmi Mishra,6457923267,348581970150,SOMZZ6010E,1964-02-23,"Flat 1I, Tagore Towers",Bengaluru,Karnataka,560003
10663,Kamlesh Mehta,7915855116,597149207574,SCUIE5424M,1971-09-09,"Flat 15H, Shivaji Vihar",Lucknow,Uttar Pradesh,226002
10664,Rajan Chandra,8434354978,929657156438,WQVPO7296U,1986-08-18,"596, Sardar Avenue, Gandhi Area",Mysuru,Karnataka,570004
10665,Ananya Dalal,8737624266,425492036930,PCYXQ0134D,1970-03-13,"House No. 840, Subhash Avenue",Ranchi,Jharkhand,834008
10666,Vivaan Ali,6842933598,674229835966,XMMYZ2571Y,1974-09-02,"747, EVR Colony, Rajiv Area",Guwahati,Assam,781005
10667,Ishwar Gupta,6064761442,987355404231,KMDSB4982S,1980-02-25,"979, Tagore Layout, Periyar Area",Gurugram,Haryana,122004
10668,Vijay Pinto,8287835733,333073453302,ZLCEH4265G,2001-02-22,"236/11, Indira Street",Mangaluru,Karnataka,575001
10669,Kamakshi Chauhan,6715558709,604224564119,QJJCI5897C,1968-03-05,"Flat 20I, Gandhi Residency",Jammu,Jammu and Kashmir,180002
10670,Kavya Shah,9557166328,446306162185,XSGDW0400E,1964-11-28,"684/20, MG Avenue",Jodhpur,Rajasthan,342009
10671,Gargi Sanghavi,6809010146,303927888818,PAUXR3254Q,2002-06-12,"541, JP Lane, Anna Area",Bhubaneswar,Odisha,751006
10672,Harish Shah,9882672800,927208147237,FKANS7050M,1999-10-13,"Door No. 106, MG Marg",Shillong,Meghalaya,793005
10673,Subramaniam Parekh,9490668867,718571164560,JPJKZ2759U,1999-05-17,"17/5, Periyar Street",Madurai,Tamil Nadu,625007
10674,Lata Ghosh,9730316787,392615487201,DRDJV3003S,1962-10-24,"Flat 19P, Azad Vihar",Vijayawada,Andhra Pradesh,520006
10675,Lata Dey,9246163034,583000914352,PQFAR7195U,1997-01-11,"773, Ram Nagar, Patel Area",Jodhpur,Rajasthan,342007
10676,Amrita Parikh,7252756002,430234056771,ECJOB2981Q,1961-01-27,"413, Shyam Street, Mohan Area",Udaipur,Rajasthan,313001
10677,Ganpat Arumugam,8790986361,727695844420,DUGOG5372O,1981-01-20,"Flat 18B, Nehru Heights",Hyderabad,Telangana,500002
10678,Gourab Ganguly,6419396061,247189119925,WJRPX7457J,1965-09-08,"81, Vivekananda Road, Sardar Area",Nagpur,Maharashtra,440010
10679,Himangshu Rajput,8051325179,244708560940,UXLHV4201Z,1991-09-24,"Plot 323, Mohan Nagar",Ranchi,Jharkhand,834007
10680,Kiran Balasubramanian,6337449998,909339136941,EQZBV0174H,1965-11-11,"Flat 3A, Ram Bhavan",Gaya,Bihar,823001
10681,Indrajit Shah,8612536064,204748679486,UQVPN5482Z,1969-07-22,"818, Gopal Street, Saraswati Area",Pune,Maharashtra,411001
10682,Saraswathi Khan,7307811171,800490214441,YVIPL2263S,1996-07-11,"963/19, Subhash Colony",Gaya,Bihar,823003
10683,Aarav Pandey,8999266536,397731739462,HMSYF7535K,1981-11-08,"House No. 887, Gopal Residency, Mohan Avenue",Srinagar,Jammu and Kashmir,190005
10684,Jayesh Iyer,6796706055,373579211625,ASPPY3232S,2000-03-06,"679/12, MG Lane",Mumbai,Maharashtra,400002
10685,Pratik Chauhan,9692552905,292600011015,LKVLO7976C,1972-07-01,"49, Anna Cross, JP Area",New Delhi,Delhi,110005
10686,Debashis Mishra,9723310448,377365561922,ZUNDD4759J,1970-11-27,"Flat 14I, MG Residency",Warangal,Telangana,506004
10687,Abhijit Krishnan,9835991676,603239193252,UNXQK4136O,1983-04-30,"959, Subhash Lane, Anna Area",Amritsar,Punjab,143006
10688,Raghavan Rajan,9868111433,264098058771,VIJRU0638Y,2003-03-13,"176/4, Indira Layout",Thiruvananthapuram,Kerala,695004
10689,Nilesh Chandra,6626603235,618029559997,MFLXO6345Y,1991-01-24,"261/9, Periyar Path",Aurangabad,Maharashtra,431007
10690,Anitha Mukherjee,6386256761,325842330080,JYAYS5126E,2005-11-13,"Flat 17G, Ambedkar Residency",Hyderabad,Telangana,500004
10691,Usha Sanghavi,8485220720,397084287416,REPLX6317K,1991-09-17,"No. 19, Patel Residency, Indira Road",Udaipur,Rajasthan,313001
10692,Ratan Bansal,7623003607,423502830342,WQFLU5971R,1962-09-14,"893, Shyam Avenue, JP Area",Imphal,Manipur,795005
10693,Pratik Rodrigues,8033045441,261664970084,HTOCS0419W,1975-04-01,"303, Ambedkar Road, Bhagat Area",Thiruvananthapuram,Kerala,695001
10694,Ratan Dalal,6315255232,480588377435,XTYWH9138G,1992-08-31,"119, Saraswati Nagar, Gopal Area",Nagpur,Maharashtra,440002
10695,Ganpat Paul,7603174890,504588097186,BXVVD6837W,1986-06-20,"47, Saraswati Lane, Bhagat Area",Indore,Madhya Pradesh,452006
10696,Sneha Rajput,7798304576,474511608958,OXBTW6917G,1993-12-29,"8, Patel Colony, MG Area",Bhubaneswar,Odisha,751007
10697,Komal Ganguly,7074611399,999271560338,RTWRW1369T,2005-12-10,"Plot 795, Tagore Layout",Agra,Uttar Pradesh,282002
10698,Pratik Krishnan,9949994457,644107692626,QYHGT8913Z,1983-03-31,"944, Bhagat Cross, Indira Area",Ahmedabad,Gujarat,380008
10699,Meenakshi Banerjee,7756816784,540730717761,WRWIA6453F,1973-05-01,"Door No. 290, Gandhi Colony",Coimbatore,Tamil Nadu,641002
10700,Uttam Menon,7126532735,714972490322,GMBLP8573L,2000-07-03,"No. 42, Vivekananda Residency, Shyam Road",Nagpur,Maharashtra,440003
10701,Ishwar Murugan,9612189391,470650761222,XOGSA3253V,1960-05-23,"Door No. 332, Saraswati Apartment, Netaji Lane",Surat,Gujarat,395006
10702,Vijayalakshmi Sharma,9778943327,839904600823,KJRVD9851V,1976-06-26,"Flat 20B, Saraswati Vihar",Hubli,Karnataka,580001
10703,Vihaan Tiwari,8120039344,276972162183,RTVPQ8719Z,1973-02-28,"230, Gandhi Path, Vallabh Area",Bengaluru,Karnataka,560001
10704,Rahul Jain,7774270549,778872820632,ERVTA0945B,1986-02-12,"375, Patel Layout, Sardar Area",Surat,Gujarat,395007
10705,Shanthi Pinto,6647245257,578747788407,ASPKM4890T,2004-11-13,"559/13, Laxmi Nagar",Amritsar,Punjab,143008
10706,Sumitha Gomes,6641700537,386056688031,RZKHM8861S,1977-02-15,"Flat 8L, EVR Complex",Agartala,Tripura,799001
10707,Girin Gupta,6991984808,901708671520,MQSBV0245L,1999-09-17,"717, Rajiv Marg, Nehru Area",Amritsar,Punjab,143007
10708,Aarav Mishra,9017850205,225497239201,ARQXJ6624W,1989-12-10,"330, Bhagat Path, Anna Area",Faridabad,Haryana,121004
10709,Chinglen Venkataraman,7041641537,605133793766,TURLN7970Q,1988-09-23,"Flat 12Q, Netaji Complex",Udaipur,Rajasthan,313004
10710,Komal Das,6449908035,824057445099,PLEJG1450D,1968-02-14,"Door No. 820, Vivekananda Vihar, Kamaraj Road",Gaya,Bihar,823001
10711,Manish Rao,7135961830,934800226425,QYRDI3515P,1969-02-23,"Flat 20X, EVR Bhavan",Bhubaneswar,Odisha,751003
10712,Saraswathi Parekh,6429371784,921461727580,VIDVE4949Q,2000-10-26,"339/11, Laxmi Marg",Ludhiana,Punjab,141008
10713,Raghavan Sharma,6929360596,475193463890,CVVNU4276N,1970-08-29,"Flat 8B, Bose Niwas",Shillong,Meghalaya,793001
10714,Kavitha Siddiqui,8805316022,943303727186,QEHWJ1081C,1978-10-24,"Flat 18Y, Sardar Apartment",Kochi,Kerala,682001
10715,Shanthi Dubey,8459858663,765418028825,DYXNO4098T,1984-06-12,"550/18, Patel Nagar",Varanasi,Uttar Pradesh,221005
10716,Priya Pereira,7298871232,236686427786,DYSUE1430H,1973-06-01,"575/15, Tagore Marg",Mumbai,Maharashtra,400092
10717,Krishnamurthy Ali,8573562327,900453585973,BDMTR1588A,1988-01-03,"43/11, EVR Nagar",Bhubaneswar,Odisha,751003
10718,Kamlesh Banerjee,9041167881,796467386569,AZHRX7472W,1975-12-31,"House No. 291, Bose Layout",Gurugram,Haryana,122002
10719,Barnali Sanghavi,7394599426,607608953012,YBWGN6294Y,1993-09-22,"365, Shyam Cross, Nehru Area",Hubli,Karnataka,580020
10720,Debarati Gupta,6533743567,227728715659,LQMXR2933S,1993-04-09,"Door No. 332, Rajiv Residency, Vallabh Colony",Kanpur,Uttar Pradesh,208001
10721,Farida Selvam,6839525252,278821651192,CVJHH1808E,2002-06-27,"Plot 475, Periyar Bhavan, Tilak Street",Faridabad,Haryana,121007
10722,Epsita Krishnan,7124402936,540941218052,JOPBA9490Z,1981-03-26,"310/3, Shyam Street",Agartala,Tripura,799002
10723,Subramaniam Roy,8713399627,886127342112,AECSF0205J,1963-01-31,"570/3, Bose Cross",Mangaluru,Karnataka,575006
10724,Kavya Biswas,6990821335,883172366704,ZSSBM0669C,1970-05-01,"298/1, Nehru Lane",Shillong,Meghalaya,793005
10725,Krishnamurthy Venkataraman,8607148765,277525723163,DAFMQ7096Y,1964-12-02,"Flat 2N, Tilak Vihar",Jodhpur,Rajasthan,342011
10726,Aditya Verma,8994696693,433700715800,PWBRO1128Z,1996-06-11,"Flat 20U, Laxmi Heights",Udaipur,Rajasthan,313011
10727,Kavitha Khan,6972285825,745513919603,XNETL5954M,1977-04-09,"Flat 12Q, Vivekananda Complex",Hubli,Karnataka,580020
10728,Amrita Murugan,9741637120,831755297760,DJHNC7204R,1970-02-11,"Flat 13D, Ram Residency",Bhubaneswar,Odisha,751005
10729,Vihaan Iyer,9118926055,746542683684,YYZZM0202Z,1984-06-18,"Plot 347, Sardar Layout",Faridabad,Haryana,121006
10730,Sneha Tripathi,9227238697,621736838509,IRLZP2760V,1992-05-11,"Flat 194, Tagore Complex, Shyam Marg",Nagpur,Maharashtra,440002
10731,Sunita Ghosh,9006279595,342954496695,HVZTM6981K,1975-02-14,"No. 115, Tilak Complex, Shyam Road",Vijayawada,Andhra Pradesh,520001
10732,Kamlesh Menon,7516383264,910017078129,HRLYT2887S,1987-01-26,"716/6, Sardar Marg",Kozhikode,Kerala,673003
10733,Fanai Mitra,7372875679,330265647711,IOWSB5940Q,1984-11-26,"No. 500, Ambedkar Vihar, Periyar Layout",Aurangabad,Maharashtra,431009
10734,Venkatesh Parikh,6198309754,447388523774,OVSLB5863F,1989-12-29,"769, MG Cross, Azad Area",Delhi,Delhi,110033
10735,Ayaan Siddiqui,9660286538,595716468210,VEZMV7800H,2003-09-23,"Flat 19H, MG Heights",Thiruvananthapuram,Kerala,695007
10736,Amrita Kumar,7484926748,962965074456,IDMJH7554S,1984-05-08,"4/7, Sardar Street",Visakhapatnam,Andhra Pradesh,530004
10737,Malathi Nair,9930326452,773309074063,ILIQH3413R,1977-12-14,"Flat 20G, Periyar Towers",Warangal,Telangana,506007
10738,Malathi Naidu,7422856283,923722593103,VSVTS0551G,1982-07-08,"# 761, Gopal Street",Agartala,Tripura,799001
10739,Gourab Ahmed,7845612578,247371985176,OKAZQ2833W,1972-12-04,"682/8, Kamaraj Cross",Delhi,Delhi,110051
10740,Subhas Jain,9396885934,488390397997,XRNFF6015L,1997-09-25,"698, Anna Street, Vallabh Area",Lucknow,Uttar Pradesh,226006
10741,Sumitha Ali,6673476714,832895910385,EDMEC3726J,1978-06-21,"# 611, Saraswati Complex, Bhagat Marg",Chandigarh,Punjab,160009
10742,Kamakshi Selvam,9565317087,500210273663,RZJKU2719G,1985-07-29,"Plot 578, Tilak Layout",Vijayawada,Andhra Pradesh,520004
10743,Arjun Ansari,6488660732,844789378595,QHMLB8654N,1986-04-03,"Flat 15, JP Towers, Laxmi Lane",Raipur,Chhattisgarh,492007
10744,Venkatesh Dasgupta,7387805289,256651837847,LPXOG4220M,2005-08-01,"Flat 2Q, Subhash Vihar",Jodhpur,Rajasthan,342005
10745,Amrita Ansari,7434354869,721215603871,AOFWK2495B,1979-01-05,"452/14, Vivekananda Path",Warangal,Telangana,506004
10746,Kavya Mehta,6396558681,204158933352,VKSKC2377A,1975-01-05,"S.No. 198, Ambedkar Apartment, Netaji Cross",Ludhiana,Punjab,141006
10747,Nilesh Chauhan,6580619499,336505519193,VONCL6000J,1973-03-29,"770/12, JP Cross",Amritsar,Punjab,143004
10748,Lalit Rao,7213495220,600371775885,KSGAK0991N,1971-10-12,"# 939, Nehru Avenue",Cuttack,Odisha,753001
10749,Mahesh Srivastava,6860181123,530255987920,LDCHR6567D,1961-10-22,"H.No. 649, Sardar Bhavan, Ambedkar Layout",Shillong,Meghalaya,793005
10750,Ramesh Tripathi,6203608164,380446081971,GUOGL3280M,1961-01-13,"424, JP Nagar, Tagore Area",Ludhiana,Punjab,141006
10751,Himangshu Mitra,8907429414,490495776253,RQHKK0630M,1985-08-18,"Flat 11S, Mohan Apartment",Visakhapatnam,Andhra Pradesh,530002
10752,Rahul Ansari,9611662866,234982468967,QDJEM4600L,2004-08-10,"Flat 7K, Rajiv Heights",Mysuru,Karnataka,570002
10753,Elina Kumar,6858949617,415052053531,EDHXA6826H,1973-05-28,"Flat 7, Bhagat Road",Mysuru,Karnataka,570010
10754,Girin Murugan,6408783437,998240211682,FFQOR7010B,1994-05-07,"997, Shyam Lane, Indira Area",Hubli,Karnataka,580024
10755,Pratik Banerjee,8526348882,572544225351,BMNOE0023H,1976-09-30,"8/13, Vivekananda Path",Vijayawada,Andhra Pradesh,520004
10756,Payal Mitra,9458712075,513685931526,DRAVS9292U,1970-12-04,"Flat 285, Azad Vihar, Laxmi Lane",Mumbai,Maharashtra,400080
10757,Meena Reddy,6997115333,697296970100,TUHHP4753R,1997-01-30,"858, Mohan Cross, Mohan Area",Faridabad,Haryana,121002
10758,Venkatesh Reddy,9638274903,512223954807,ALRZT8857R,2001-07-26,"Flat 1H, Sardar Vihar",Jaipur,Rajasthan,302017
10759,Chinglen Joshi,9007622821,482193868278,UTDGU5102Y,1992-04-23,"679/13, EVR Street",Bhopal,Madhya Pradesh,462016
10760,Pooja Menon,7443584981,384651242106,TMRMS3797I,1968-07-04,"594, Indira Lane, Shivaji Area",New Delhi,Delhi,110008
10761,Savita Dasgupta,7136365972,967687775935,ULFUC2552R,1962-02-08,"Flat 20T, Shyam Apartment",Kozhikode,Kerala,673006
10762,Sumitha Srivastava,8001113915,680442364792,TGPAA7909Y,1982-06-08,"No. 320, JP Layout",Panaji,Goa,403004
10763,Harish Mukherjee,9736720961,223726432058,UOLEG3918U,1992-08-28,"161, EVR Path, Laxmi Area",Kanpur,Uttar Pradesh,208010
10764,Pooja Chakraborty,9326096856,810859735867,WVVHF6182P,1964-07-31,"# 154, Anna Vihar, Mohan Avenue",Mangaluru,Karnataka,575004
10765,Bikash Shah,9669494715,734745024053,LEQOH8538U,1983-03-18,"452/9, Netaji Lane",Udaipur,Rajasthan,313001
10766,Nisha Reddy,7856932913,896480407373,BUHJS3192A,1988-03-10,"418/8, Indira Cross",Delhi,Delhi,110031
10767,Lakshmi Modi,9464660332,939974159209,HVBCE4081T,1989-06-01,"Plot 531, Vivekananda Layout",Bengaluru,Karnataka,560041
10768,Vijayalakshmi Tripathi,8435754789,550526027068,MLMMQ9599T,1976-05-10,"884, Tilak Layout, Indira Area",Ahmedabad,Gujarat,380013
10769,Indrajit Ganguly,8133768705,279106510640,MZNTR3529Z,1960-12-14,"474/11, Tilak Avenue",Tiruchirappalli,Tamil Nadu,620003
10770,Rajan Menon,6903178836,631678598444,XORXZ5099B,2001-05-16,"6/5, Sardar Lane",Faridabad,Haryana,121006
10771,Elina Fernandes,6299966330,435654030799,DJUVU6211U,1992-01-20,"Flat 18E, Gandhi Apartment",Madurai,Tamil Nadu,625001
10772,Komal Bansal,6481093054,673857797398,YDVIR2830F,2003-08-08,"House No. 448, Indira Residency, Vivekananda Nagar",Hubli,Karnataka,580020
10773,Ganesh Hussain,9688155903,281969544876,CUASH5517K,1962-09-24,"Flat 2H, Vivekananda Enclave",Vijayawada,Andhra Pradesh,520005
10774,Revathi Khan,8559355881,282277547777,HOEHS1512S,1982-04-11,"S.No. 631, Nehru Complex, Nehru Street",Warangal,Telangana,506005
10775,Ishwar Pinto,9741662395,871255935027,LGTAH7994V,2003-04-21,"# 825, Shivaji Marg",Agra,Uttar Pradesh,282006
10776,Ayaan Mehta,8558345595,762168335766,NOUJA9705Y,1964-07-23,"486, Shivaji Lane, Shivaji Area",Rajkot,Gujarat,360002
10777,Kiran Bhattacharya,7368609316,289888501055,UOPCJ2040T,1977-01-12,"964, Azad Avenue, Bose Area",Patna,Bihar,800004
10778,Himangshu Banerjee,7188938447,367663420834,NCHTK2274I,1962-09-09,"# 785, Bhagat Vihar, Anna Nagar",Surat,Gujarat,395008
10779,Komal Tripathi,9744992468,914469399531,VILID6013Z,1960-12-30,"275, EVR Layout, Anna Area",Jammu,Jammu and Kashmir,180005
10780,Vijay Goel,7324687220,573378406138,KXSZZ4297K,1994-07-18,"S.No. 679, Patel Vihar, Ram Lane",Patna,Bihar,800006
10781,Karthik Tiwari,7676449436,527056146534,UEBDZ5440L,1972-04-25,"Door No. 85, Azad Bhavan, MG Layout",Nashik,Maharashtra,422002
10782,Revathi Bhatt,6335850814,522987663279,RBHFO0098T,1966-12-11,"No. 40, Bhagat Residency, Indira Nagar",Guwahati,Assam,781009
10783,Kamlesh Kapadia,8990527025,811435830407,MXSDB0518E,1969-10-03,"Plot 348, Ambedkar Complex, Netaji Colony",Agra,Uttar Pradesh,282010
10784,Savita Shukla,7743126665,802336165580,KDLID4102U,2002-06-10,"Flat 12X, Periyar Vihar",Guwahati,Assam,781001
10785,Sai Sanghavi,6571121816,993235393305,HHPIC8388S,1986-08-17,"724, Patel Colony, Shyam Area",Coimbatore,Tamil Nadu,641002
10786,Fanai Shah,8190204115,688051093346,USFKT0476G,2001-10-04,"No. 592, JP Cross",Gaya,Bihar,823001
10787,Himangshu Hussain,7170470125,483397178568,CJLAP4797H,1962-09-27,"703/19, Indira Lane",Ranchi,Jharkhand,834002
10788,Subhas Fernandes,6793647089,640654525935,MRWZW0210R,1988-09-26,"House No. 461, Ambedkar Layout",Howrah,West Bengal,711102
10789,Ishaan Mandal,9801093609,394908170032,MKEAY8654P,2004-06-23,"285, Anna Layout, Ambedkar Area",Dehradun,Uttarakhand,248001
10790,Kavitha Sanghavi,9460773595,891922051356,GYVYR7776L,1964-01-10,"Door No. 109, Vallabh Bhavan, Shyam Path",Nashik,Maharashtra,422005
10791,Payal Agarwal,7177487477,559958438356,PPTED0026I,1998-03-14,"House No. 391, Azad Residency, Netaji Path",Faridabad,Haryana,121002
10792,Lata Rodrigues,6313878305,882875335526,RBPHO4411F,1996-03-05,"Flat 5E, Indira Towers",Ludhiana,Punjab,141004
10793,Indrajit Mukherjee,9503947505,777791743124,FQFGY0640S,1972-08-16,"House No. 52, Nehru Towers, Bhagat Marg",Agartala,Tripura,799004
10794,Shanthi Menon,8339168670,750694394410,UBHWU5212S,1973-06-24,"872/17, Patel Road",Bengaluru,Karnataka,560001
10795,Chinglen Ahmed,7575384811,357034756016,HYRJH9929A,1975-12-16,"Door No. 727, Kamaraj Heights, Vivekananda Avenue",Bengaluru,Karnataka,560004
10796,Aarav Sengupta,6734346609,747006039810,LZJKI0677A,1975-04-17,"Flat 500, Ram Bhavan, Saraswati Avenue",Mangaluru,Karnataka,575003
10797,Chandana Shukla,8413336650,485915658179,CJMEB3731C,1970-06-02,"Plot 164, Azad Layout",Bhopal,Madhya Pradesh,462002
10798,Biren Shukla,7856993914,465201201740,DQNHH6593L,1986-09-02,"House No. 475, Subhash Layout",Kochi,Kerala,682002
10799,Shanthi Natarajan,8915321801,330852315682,XGEGS0188I,1995-05-25,"854/6, Shivaji Colony",Chennai,Tamil Nadu,600040
10800,Nisha Sanghavi,9077604293,966740877210,LIUVB2207C,1961-09-03,"House No. 291, Netaji Path",Gaya,Bihar,823004
10801,Malathi Pereira,7927639852,581828936327,OLAXT0183O,1980-09-20,"73/14, JP Road",New Delhi,Delhi,110007
10802,Saraswathi Chakraborty,6507077508,694999635768,KYDBO0350Y,1983-01-28,"285/6, Periyar Nagar",Kozhikode,Kerala,673003
10803,Chitra Pillai,6591541963,711096745136,FTTAW7244E,1972-08-14,"430/17, Sardar Path",Ahmedabad,Gujarat,380007
10804,Rekha Ali,6281718993,747521127596,GWXFC6929A,2005-03-15,"56, JP Avenue, JP Area",Agra,Uttar Pradesh,282003
10805,Pooja Das,6364851002,382414081702,NZBQM4717J,2002-11-27,"681/9, Rajiv Street",Imphal,Manipur,795001
10806,Saraswathi Natarajan,7106510046,210413135557,ODSTZ6129N,2001-08-25,"501, Ram Road, Kamaraj Area",Mysuru,Karnataka,570010
10807,Deepika Mukherjee,9677513877,323981893972,BNFHD2359Z,1967-07-31,"# 288, Vallabh Apartment, Ambedkar Cross",Bhopal,Madhya Pradesh,462021
10808,Uttam Rodrigues,6315758593,385362054493,TPLRI0458O,1960-10-03,"S.No. 987, MG Road",Mysuru,Karnataka,570001
10809,Epsita Desai,8553544078,877888922100,LDRYA7370D,1975-08-04,"Flat 705, Bose Apartment, Gopal Lane",Rajkot,Gujarat,360004
10810,Ganpat Sanghavi,9718644262,647049867110,ZNMAG3766H,1962-08-13,"House No. 316, EVR Bhavan, JP Avenue",Hyderabad,Telangana,500004
10811,Manish Rodrigues,6304381779,446924704811,YRBNT2102L,1993-12-30,"Flat 523, Netaji Road",Panaji,Goa,403003
10812,Savita Balasubramanian,7743256740,736251231154,CBPXA1342M,1978-04-17,"Flat 9F, Sardar Vihar",Nashik,Maharashtra,422013
10813,Anindita Rajan,8384256116,359994426184,WIFTZ3941U,1993-01-30,"277/19, Sardar Layout",Nashik,Maharashtra,422008
10814,Dinesh Mandal,8935803528,250750781973,JUVXJ2744J,1984-07-14,"Flat 10Z, Azad Apartment",Chandigarh,Punjab,160009
10815,Vivaan Parekh,7648627553,979385460912,DXGMW2976B,1968-04-21,"588/8, JP Layout",Ranchi,Jharkhand,834007
10816,Anitha Goel,8174316032,703943988442,LOEYL7495X,1983-07-22,"729/15, Bhagat Lane",Udaipur,Rajasthan,313003
10817,Tapan Rajput,9427183224,223936276176,XHARZ2933C,1974-08-28,"517, Shivaji Road, Bose Area",Kozhikode,Kerala,673004
10818,Ramesh Kumar,9459528276,974239354337,FUSNF4718L,1970-09-27,"House No. 389, EVR Heights, Gandhi Path",Nagpur,Maharashtra,440001
10819,Pradip Dey,9965371557,510520898318,LAVZB6848H,1969-06-17,"198/3, Vallabh Marg",Mysuru,Karnataka,570008
10820,Epsita Pinto,9590826800,272208712189,VZJGZ6571G,1966-10-06,"969/15, Indira Road",Panaji,Goa,403003
10821,Vivaan Mahato,6609417502,613007886758,SMIOY0373B,1986-08-13,"923, Tagore Avenue, Subhash Area",Gurugram,Haryana,122009
10822,Vijayalakshmi Mehta,6814204384,704621764349,WWXCU9784B,1999-08-14,"H.No. 578, Patel Lane",Kozhikode,Kerala,673006
10823,Reyansh Modi,9726418793,989537701249,FVLGR5992H,1999-05-06,"451, Gandhi Marg, Netaji Area",Kochi,Kerala,682001
10824,Farida Banerjee,8692692032,935712567212,WAOIR8353E,1987-05-11,"Flat 11P, Gandhi Bhavan",Chennai,Tamil Nadu,600028
10825,Anindita Ansari,6303413653,498568499770,TULAH3872O,1962-10-25,"Plot 751, Azad Road",Nashik,Maharashtra,422013
10826,Barnali Ali,9387621577,605458661824,TSHHM3201X,2005-02-19,"429/19, Tilak Marg",Vijayawada,Andhra Pradesh,520004
10827,Jayesh Bhattacharya,7159007132,244845677154,CYQJA3585D,1996-01-20,"Flat 13L, MG Niwas",Patna,Bihar,800005
10828,Girish Thakkar,8760852085,496455217504,ONMDO4137E,1974-12-12,"704, Kamaraj Cross, Bhagat Area",Mumbai,Maharashtra,400080
10829,Nilesh Rodrigues,7864006724,863903214303,CSZVG8811Q,1983-07-31,"363/18, Vivekananda Cross",Indore,Madhya Pradesh,452001
10830,Pradip Arumugam,8296151436,945783517983,QLYRI9994H,1978-03-29,"H.No. 681, Vivekananda Road",Shimla,Himachal Pradesh,171006
10831,Gargi Agarwal,6624694762,568426851797,EMSPZ0819P,1966-11-30,"Door No. 877, Periyar Nagar",Amritsar,Punjab,143001
10832,Eshan Trivedi,6904562446,420165663393,ZJNHT3360I,1961-04-19,"322/17, Saraswati Layout",Ahmedabad,Gujarat,380001
10833,Ayaan Jain,8843507450,532809997024,HHUCX0461V,1989-06-22,"House No. 775, MG Towers, Sardar Path",Gaya,Bihar,823002
10834,Chirag Modi,6727573554,347126661539,FUTDG4010B,1968-10-23,"# 652, Shyam Heights, Tagore Layout",Madurai,Tamil Nadu,625003
10835,Foram Menon,8773391299,237191275939,SJMXY8074V,1976-10-09,"H.No. 877, Shivaji Apartment, MG Lane",Chennai,Tamil Nadu,600001
10836,Sunita Modi,8364443296,342200722768,GENWN8456D,1965-01-21,"# 554, EVR Lane",Amritsar,Punjab,143004
10837,Chandana Sanghavi,7258677546,786172847034,HKFEH3696Q,1985-07-28,"Door No. 304, Saraswati Residency, Periyar Avenue",Panaji,Goa,403001
10838,Biren Tiwari,8176965959,856003375229,VTNQC5183X,1983-10-29,"S.No. 940, Azad Lane",Udaipur,Rajasthan,313003
10839,Krishnamurthy Tiwari,8264302970,337229821093,JTIZE1630V,1987-06-02,"571, Vivekananda Street, Tilak Area",Chandigarh,Punjab,160009
10840,Reyansh Mitra,9834767900,982446666948,FYVRO3558X,1991-12-08,"344/11, Azad Nagar",Agartala,Tripura,799001
10841,Harish Parikh,7325727346,470472334466,KBCYP7003Q,1995-07-07,"H.No. 776, Periyar Cross",Mangaluru,Karnataka,575006
10842,Biren Rajan,8186956134,608833183801,KTGKB1894P,1982-03-22,"795, Anna Nagar, Ambedkar Area",Faridabad,Haryana,121001
10843,Chinglen Trivedi,7002391523,333631409821,EBGOX4016T,1961-08-18,"Flat 680, EVR Path",Agartala,Tripura,799002
10844,Gargi Rajput,6765324483,638715154746,QCZBS5045F,1962-12-23,"48/17, Bhagat Colony",Jammu,Jammu and Kashmir,180003
10845,Mahesh Srivastava,9005932418,525276252021,FCMJH5928P,1962-05-20,"457/4, Patel Road",Delhi,Delhi,110032
10846,Manish Sharma,7515386426,930220994175,FWHRJ1620V,1990-09-30,"Flat 11F, Saraswati Bhavan",Pune,Maharashtra,411045
10847,Sanjay Banerjee,6378467970,283076440583,ISAME1692X,1972-05-04,"121/8, Sardar Cross",Kozhikode,Kerala,673002
10848,Ananya Pillai,8063680199,250240651174,WMCCB3598S,1999-01-30,"H.No. 975, Vallabh Complex, Tilak Road",Vijayawada,Andhra Pradesh,520005
10849,Payal Gomes,6388190114,767677619524,OTCBD0439P,2001-11-13,"906, Rajiv Colony, Gopal Area",Ranchi,Jharkhand,834001
10850,Ramesh Chatterjee,9253209592,689873587272,QWEQI4607I,1962-09-10,"590, Patel Avenue, Laxmi Area",Agartala,Tripura,799005
